ID,teamName,playerID,playerName
0,"[03]diSPlay",0,"[03]diSPlay¬MenTнe à l'eau  #VV"
0,"[03]diSPlay",1,"[03]diSPlay¬Eyohna-encore #LM"
0,"[03]diSPlay",2,"[03]diSPlay¬Deephicile""
0,"[03]diSPlay",3,"[03]diSPlay¬мιैאounet !!"
0,"[03]diSPlay",4,"[03]diSPlay¬Darkcounet  !!!"
46,"[46]hal.ko.",0,"[46] hal.ko.Minato"
46,"[46]hal.ko.",1,"[46] hal.ko.Pinnaee"
46,"[46]hal.ko.",2,"[46] hal.ko.Tolkie"
46,"[46]hal.ko.",3,"[46]hal.ko.DeathDriver"
46,"[46]hal.ko.",4,"wakinger"
29,"[29]T¹",0,"[29]T¹ fzλсн« ムіпснэпf"
29,"[29]T¹",1,"[29]T¹ zλсн« ÐεгĿƐDƐƦƐƦ"
29,"[29]T¹",2,"[29]T¹ fzλсн«םєнаยєя〢"
29,"[29]T¹",3,"[29]T¹ ธקяоττє"
29,"[29]T¹",4,"[29]T¹ zλсн«Ratte>"
24,"[24]Sραm²",0,"[24] Sραm»Zephir"
24,"[24]Sραm²",1,"[24] Sραm»Slyd"
24,"[24]Sραm²",2,"arrow93"
24,"[24]Sραm²",3,"[24]Sραm»Sѡаה"
24,"[24]Sραm²",4,"[24]Sραm4» ҒuraҲ"
7,"[07]Bro'",0,"[07]Bro'Wnies"
7,"[07]Bro'",1,"[07]Bro'Coli"
7,"[07]Bro'",2,"heresio1996"
7,"[07]Bro'",3,"[07]Bro'Sadent"
7,"[07]Bro'",4,"jwp_stickz"
35,"[35]ηioび",0,"[35]िบșเ๏η ¦Jibouηioび"
35,"[35]ηioび",1,"ηioび ¦  Eiichirō"
35,"[35]ηioび",2,"[35]ηioび.Karsette 24н.DDE"
35,"[35]ηioび",3,"[35]Marionic ηioび"
35,"[35]ηioび",4,"[35] Kodie ηioび"
39,"[39]イｻミ.5Guys1Cup!",0,"[39]イｻミ.5Guys1Cup|Ami"
39,"[39]イｻミ.5Guys1Cup!",1,"barbos"
39,"[39]イｻミ.5Guys1Cup!",2,"[39]イｻミ.5Guys1Cup|Killa"
39,"[39]イｻミ.5Guys1Cup!",3,"[39] イｻミ.5Guys1Cup|ba"
39,"[39]イｻミ.5Guys1Cup!",4,"[39]イｻミ.5g1c|Mariou"
42,"[42]penta»",0,"[42] penta» Scrapie"
42,"[42]penta»",1,"[42] penta» MiQuatro"
42,"[42]penta»",2,"[42] penta»Zack"
42,"[42]penta»",3,"[42] BX3 JaviFlyer penta»"
48,"[48]ΛИΣ",0,"[48]ΛИΣBomba.com"
48,"[48]ΛИΣ",1,"[48]ΛИΣDutchy"
48,"[48]ΛИΣ",2,"[48]penta» Safran!"
48,"[48]ΛИΣ",3,"[48]ΛИΣSMiiE."
48,"[48]ΛИΣ",4,"[48]ΛИΣRuVa"
44,"[44]esu |",0,"[44] esu | Kilburn'Q"
44,"[44]esu |",1,"[44] esu | shortz"
44,"[44]esu |",2,"[44] esu | נυмρєя"
44,"[44]esu |",3,"[44] esu | 0"
44,"[44]esu |",4,"[44]esu | Harry///"
49,"[49]MayMay/",0,"arelgeee"
49,"[49]MayMay/",1,"dopotops"
41,"[41]Legend |",0,"[41]Legend | patte93#Pos.14 is real"
41,"[41]Legend |",1,"[41]Legend | CrossyRoad AMK"
41,"[41]Legend |",2,"[41] Legend | DeDe ッ"
15,"[15]eK.²",0,"[15]eK².funstyle"
15,"[15]eK.²",1,"[15]eK².icey シ"
15,"[15]eK.²",2,"[15]eK².robin シ"
15,"[15]eK.²",3,"[15]eK.²Dan"
15,"[15]eK.²",4,"[15]eK².nerox"
5,"[05]BS",0,"[05] BS|wally"
5,"[05]BS",1,"[05] BS|CarlJr."
5,"[05]BS",2,"[05] BS|Leo"
5,"[05]BS",3,"[05] BS|racehans"
5,"[05]BS",4,"[05] BS|beat"
20,"[20]9Live",0,"[20] 9Live Es ist pervers was hier passiert"
20,"[20]9Live",1,"[20] 9Live Βαснκιρρεッ"
20,"[20]9Live",2,"[20] 9Live »קахх"
20,"[20]9Live",3,"[20] 9Live LoddoSpielDouse"
20,"[20]9Live",4,"[20] 9LiveHausmäist-ler"
11,"[11]JBG",0,"[11] admin_shades"
11,"[11]JBG",1,"[11] fluff3000"
4,"[04]!mpact|",0,"[04]!mpact|Era."
